nome,genere,tipo,professione_originale,macro_categoria
Giuseppe Gabussi,M,storica,"Storico, patriota","Filosofia, storia e accademia"
Giuseppe Fanin,M,storica,Sindacalista,Sindacalismo e attivismo civile
Giuseppe Dozza,M,storica,Politico (Sindaco di Bologna),Politica e diritto
Giuseppe Dossetti,M,storica,"Politico, partigiano, sacerdote",Resistenza e antifascismo
Giuseppe Di Vittorio,M,storica,Sindacalista (CGIL),Sindacalismo e attivismo civile
Giuseppe Di Vagno,M,storica,Politico socialista,Politica e diritto
Giuseppe Dagnini,M,storica,"Cardiologo, clinico",Scienze e medicina
Giuseppe Crespi (Lo Spagnuolo),M,storica,Pittore,Arte visiva e architettura
Giuseppe Cesare Abba,M,storica,Scrittore (garibaldino),Letteratura e giornalismo
Giuseppe Ceri,M,storica,"Ingegnere, architetto",Scienze e medicina
Giuseppe Borgatti,M,storica,Cantante lirico,"Musica, teatro e cinema"
Giuseppe Bentivogli,M,storica,Partigiano,Resistenza e antifascismo
Giuseppe Bandi,M,storica,"Scrittore, patriota",Letteratura e giornalismo
Giuseppe Atti,M,storica,"Storico, filologo","Filosofia, storia e accademia"
Giuseppe Albini,M,storica,"Filologo, latinista","Filosofia, storia e accademia"
Giulio Marcovigi,M,storica,"Ingegnere, architetto",Scienze e medicina
Giulio II (Giuliano della Rovere),M,storica,Papa,Religione
Giulio Cesare Pupilli,M,storica,Fisiologo,Scienze e medicina
Giulio Cesare Ferrari,M,storica,Psichiatra,Scienze e medicina
Giulio Cesare Croce,M,storica,Scrittore (Bertoldo),Letteratura e giornalismo
Giulio Cesare Aranzio,M,storica,Anatomista,Scienze e medicina
Giulio Alberoni,M,storica,Cardinale,Religione
Girolamo Giacobbi,M,storica,Compositore,"Musica, teatro e cinema"
Girolamo Frescobaldi,M,storica,Compositore,"Musica, teatro e cinema"
Girolamo Cardano,M,storica,"Medico, matematico",Scienze e medicina
Girolamo Borselli,M,storica,"Storico, domenicano","Filosofia, storia e accademia"
Giovanni XXIII,M,storica,Papa,Religione
Giovanni Spadolini,M,storica,"Storico, politico",Politica e diritto
Giovanni Segantini,M,storica,Pittore,Arte visiva e architettura
Giovanni Sabadino degli Arienti,M,storica,Scrittore,Letteratura e giornalismo
Giovanni Pier Luigi da Palestrina,M,storica,Compositore,"Musica, teatro e cinema"
Giovanni Pico della Mirandola,M,storica,"Filosofo, umanista","Filosofia, storia e accademia"
Giovanni Pascoli,M,storica,Poeta,Letteratura e giornalismo
Giovanni Papini,M,storica,Scrittore,Letteratura e giornalismo
Giovanni Palatucci,M,storica,Funzionario (Giusto tra le nazioni),Sindacalismo e attivismo civile
Giovanni N. Pasquali Alidosi,M,storica,"Erudito, storico","Filosofia, storia e accademia"
Giovanni Michelucci,M,storica,Architetto,Arte visiva e architettura
Giovanni Lorenzo Bernini,M,storica,"Scultore, architetto",Arte visiva e architettura
Giovanni II Bentivoglio,M,storica,Signore di Bologna,Altro / istituzionale
Giovanni Ignazio Molina,M,storica,"Sacerdote, naturalista",Religione
Giovanni Gozzadini,M,storica,"Archeologo, storico","Filosofia, storia e accademia"
Giovanni Gioseffo Dal Sole,M,storica,Pittore,Arte visiva e architettura
Giovanni Garzoni,M,storica,"Umanista, medico",Scienze e medicina
Giovanni Francesco Barbieri (Guercino),M,storica,Pittore,Arte visiva e architettura
Giovanni Favilli,M,storica,Patologo,Scienze e medicina
Giovanni Falcone,M,storica,Magistrato,Politica e diritto
Giovanni Emanuel,M,storica,Attore,"Musica, teatro e cinema"
Giovanni Dupré,M,storica,Scultore,Arte visiva e architettura
Giovanni Domenico Cassini,M,storica,Astronomo,Scienze e medicina
Giovanni da Verrazzano,M,storica,Esploratore,"Patrioti, militari ed esploratori"
Giovanni Crocioni,M,storica,Dialettologo,"Filosofia, storia e accademia"
Giovanni Chiarini,M,storica,Esploratore,"Patrioti, militari ed esploratori"
Giovanni Casoni,M,storica,"Ingegnere, storico",Scienze e medicina
Giovanni Bottonelli,M,storica,Partigiano,Resistenza e antifascismo
Giovanni Boccaccio,M,storica,Scrittore,Letteratura e giornalismo
Giovanni Battista Pergolesi,M,storica,Compositore,"Musica, teatro e cinema"
Giovanni Battista Nasalli Rocca,M,storica,Cardinale,Religione
Giovanni Battista Morgagni,M,storica,"Medico, anatomista",Scienze e medicina
Giovanni Battista Gandino,M,storica,Latinista,"Filosofia, storia e accademia"
Giovanni Battista Cortesi,M,storica,"Medico, chirurgo",Scienze e medicina
Giovanni Amendola,M,storica,"Politico, giornalista",Politica e diritto
Giovan Battista Martinetti,M,storica,"Architetto, ingegnere",Scienze e medicina
Giorgio Vasari,M,storica,"Pittore, architetto, storico","Filosofia, storia e accademia"
Giorgio Perlasca,M,storica,Giusto tra le Nazioni,Sindacalismo e attivismo civile
Giorgio Morandi,M,storica,Pittore,Arte visiva e architettura
Giorgio La Pira,M,storica,"Politico, Sindaco di Firenze",Politica e diritto
Giorgio Guazzaloca,M,storica,"Politico, Sindaco di Bologna",Politica e diritto
Giorgio Cencetti,M,storica,Paleografo,"Filosofia, storia e accademia"
Giorgio Bassani,M,storica,Scrittore,Letteratura e giornalismo
Gil Evans,M,storica,Musicista jazz,"Musica, teatro e cinema"
Gil Alvarez C. de Albornoz,M,storica,Cardinale (Collegio di Spagna),Religione
Gianni Rodari,M,storica,"Scrittore, pedagogista",Istruzione ed educazione
Gianni Palmieri,M,storica,"Medico, partigiano",Resistenza e antifascismo
Gian Ludovico Bianconi,M,storica,"Medico, erudito",Scienze e medicina
Gian Giacomo Carissimi,M,storica,Compositore,"Musica, teatro e cinema"
Giambattista Vico,M,storica,"Filosofo, storico","Filosofia, storia e accademia"
Giambattista Tiepolo,M,storica,Pittore,Arte visiva e architettura
Gherardo Ghirardini,M,storica,Archeologo,"Filosofia, storia e accademia"
Gherardo Forni,M,storica,Chirurgo,Scienze e medicina
Gerolamo Rainaldi,M,storica,Architetto,Arte visiva e architettura
George Gordon Byron,M,storica,Poeta,Letteratura e giornalismo
Gastone Sozzi,M,storica,"Politico, antifascista",Resistenza e antifascismo
Gaspare Ungarelli,M,storica,"Storico, dialettologo","Filosofia, storia e accademia"
Gaspare Tagliacozzi,M,storica,Medico (pioniere chirurgia plastica),Scienze e medicina
Gaspare Nadi,M,storica,Costruttore (diario storico),"Filosofia, storia e accademia"
Galileo Galilei,M,storica,"Fisico, astronomo",Scienze e medicina
Galeazzo Marescotti,M,storica,"Nobile, politico",Politica e diritto
Gaetano Tacconi,M,storica,"Medico, anatomista",Scienze e medicina
Gaetano Salvemini,M,storica,"Storico, politico",Politica e diritto
Gaetano Previati,M,storica,Pittore,Arte visiva e architettura
Gaetano Pilati,M,storica,"Politico, antifascista",Resistenza e antifascismo
Gaetano Giordani,M,storica,"Scrittore, bibliografo",Letteratura e giornalismo
Gaetano Donizetti,M,storica,Compositore,"Musica, teatro e cinema"
Fulvio Bernardini,M,storica,"Calciatore, allenatore",Sport
Fryderyk Chopin,M,storica,"Compositore, pianista","Musica, teatro e cinema"
Franklin Delano Roosevelt,M,storica,32° Presidente Stati Uniti,Istruzione ed educazione
Frank Zappa,M,storica,"Musicista, compositore","Musica, teatro e cinema"
Francesco Zanardi,M,storica,Politico (Sindaco del Pane),Politica e diritto
Francesco Zambrini,M,storica,Letterato,"Filosofia, storia e accademia"
Francesco Todaro,M,storica,"Medico, anatomista",Scienze e medicina
Francesco Tadolini,M,storica,Architetto,Arte visiva e architettura
Francesco Serato,M,storica,Violoncellista,"Musica, teatro e cinema"
Francesco Selmi,M,storica,Chimico,Scienze e medicina
Francesco Saverio Mercadante,M,storica,Compositore,"Musica, teatro e cinema"
Francesco Sabatucci,M,storica,Partigiano (M.O.V.M.),Resistenza e antifascismo
Francesco Roncati,M,storica,"Medico, psichiatra",Scienze e medicina
Francesco Rizzoli,M,storica,"Medico, chirurgo, filantropo",Sindacalismo e attivismo civile
Francesco Primaticcio,M,storica,Pittore,Arte visiva e architettura
Francesco Petrarca,M,storica,"Poeta, scrittore",Letteratura e giornalismo
Francesco Orioli,M,storica,"Fisico, politico",Politica e diritto
Francesco Nullo,M,storica,Patriota,"Patrioti, militari ed esploratori"
Francesco Morandi (Terribilia),M,storica,Architetto,Arte visiva e architettura
Francesco Molinari Pradelli,M,storica,Direttore d'orchestra,Istruzione ed educazione
Francesco Magni,M,storica,Oculista,Scienze e medicina
Francesco Guardi,M,storica,Pittore,Arte visiva e architettura
Francesco Flora,M,storica,Critico letterario,"Filosofia, storia e accademia"
Francesco Delitala,M,storica,"Medico, ortopedico",Scienze e medicina
Francesco del Cossa,M,storica,Pittore,Arte visiva e architettura
Francesco De Sanctis,M,storica,"Critico letterario, politico",Politica e diritto
Francesco De Marchi,M,storica,"Ingegnere, speleologo",Scienze e medicina
Francesco Cilea,M,storica,Compositore,"Musica, teatro e cinema"
Francesco Cavazzoni,M,storica,Pittore,Arte visiva e architettura
Francesco Cavazza,M,storica,"Filantropo, nobile",Sindacalismo e attivismo civile
Francesco Baracca,M,storica,Asso dell'aviazione,"Patrioti, militari ed esploratori"
Francesco Arcangeli,M,storica,Storico dell'arte,"Filosofia, storia e accademia"
Francesco Albergati Capacelli,M,storica,Commediografo,"Musica, teatro e cinema"
Francesco Albani,M,storica,Pittore,Arte visiva e architettura
Francesco Acri,M,storica,Filosofo,"Filosofia, storia e accademia"
Floriano Ambrosini,M,storica,Architetto,Arte visiva e architettura
Filippo Turati,M,storica,"Politico, socialista",Politica e diritto
Filippo Schiassi,M,storica,"Archeologo, epigrafista","Filosofia, storia e accademia"
Filippo Re,M,storica,"Agronomo, botanico",Scienze e medicina
Filippo De Pisis,M,storica,"Pittore, scrittore",Arte visiva e architettura
